YYYYMMDD,HH,DD,FH,T,SQ,Q,EUR
0.302,-0.8333333333333334,-0.05555555555555558,0.09999999999999998,-0.89,-0.5,-1.0,7
0.302,-0.75,-0.11111111111111116,0.09999999999999998,-0.88,-0.5,-1.0,7
0.302,-0.6666666666666667,-0.11111111111111116,0.0,-0.89,-0.5,-1.0,6
0.302,-0.5833333333333333,-0.11111111111111116,0.09999999999999998,-0.91,-0.5,-1.0,7
0.302,-0.5,-0.11111111111111116,0.09999999999999998,-0.91,-0.09999999999999998,-0.96,7
0.302,-0.41666666666666663,-0.11111111111111116,0.09999999999999998,-0.84,0.8999999999999999,-0.6699999999999999,7
0.302,-0.33333333333333337,-0.11111111111111116,0.09999999999999998,-0.67,1.5,-0.06000000000000005,7
0.302,-0.25,-0.05555555555555558,0.29999999999999993,-0.55,1.5,0.44999999999999996,7
0.302,-0.16666666666666663,-0.11111111111111116,0.29999999999999993,-0.45999999999999996,1.5,0.73,7
0.302,-0.08333333333333337,-0.16666666666666663,0.29999999999999993,-0.3500000000000001,1.3,0.69,7
0.302,0.0,-0.16666666666666663,0.29999999999999993,-0.24,1.5,0.8300000000000001,7
0.302,0.08333333333333326,-0.16666666666666663,0.19999999999999996,-0.16999999999999993,0.7,0.29000000000000004,6
0.302,0.16666666666666674,-0.11111111111111116,0.19999999999999996,-0.29000000000000004,0.30000000000000004,-0.27,7
0.302,0.25,-0.2777777777777778,0.0,-0.21999999999999997,-0.09999999999999998,-0.6799999999999999,7
0.302,0.33333333333333326,-0.2222222222222222,0.09999999999999998,-0.27,0.09999999999999998,-0.88,7
0.302,0.41666666666666674,-0.2777777777777778,0.09999999999999998,-0.29000000000000004,-0.5,-0.99,8
0.302,0.5,-0.33333333333333337,0.0,-0.3500000000000001,-0.5,-1.0,8
0.302,0.5833333333333333,-0.33333333333333337,0.0,-0.41999999999999993,-0.5,-1.0,8
0.302,0.6666666666666667,-0.2777777777777778,0.0,-0.48,-0.5,-1.0,8
0.302,0.75,-0.33333333333333337,0.0,-0.49,-0.5,-1.0,7
0.302,0.8333333333333333,-0.2777777777777778,0.0,-0.42999999999999994,-0.5,-1.0,8
0.302,0.9166666666666667,-0.2222222222222222,0.0,-0.3500000000000001,-0.5,-1.0,8
0.303,-1.0,-0.2777777777777778,0.0,-0.4099999999999999,-0.5,-1.0,7
0.303,-0.9166666666666666,-0.33333333333333337,-0.10000000000000003,-0.52,-0.5,-1.0,7
0.303,-0.8333333333333334,-0.38888888888888884,-0.10000000000000003,-0.57,-0.5,-1.0,7
0.303,-0.75,-0.38888888888888884,-0.10000000000000003,-0.65,-0.5,-1.0,7
0.303,-0.6666666666666667,-0.33333333333333337,-0.2,-0.62,-0.5,-1.0,7
0.303,-0.5833333333333333,-0.33333333333333337,-0.2,-0.67,-0.5,-1.0,7
0.303,-0.5,-0.2777777777777778,-0.2,-0.64,-0.5,-0.98,7
0.303,-0.41666666666666663,-0.33333333333333337,-0.2,-0.56,-0.5,-0.87,7
0.303,-0.33333333333333337,-0.2777777777777778,-0.2,-0.45999999999999996,-0.5,-0.63,7
0.303,-0.25,-0.05555555555555558,-0.2,-0.3400000000000001,-0.3,-0.4,7
0.303,-0.16666666666666663,-0.33333333333333337,-0.2,-0.26,-0.3,-0.10999999999999999,7
0.303,-0.08333333333333337,-0.2777777777777778,-0.10000000000000003,-0.08000000000000007,0.8999999999999999,0.55,7
0.303,0.0,0.05555555555555558,-0.10000000000000003,-0.040000000000000036,0.8999999999999999,0.52,6
0.303,0.08333333333333326,0.33333333333333326,-0.2,-0.040000000000000036,0.8999999999999999,0.26,6
0.303,0.16666666666666674,0.2777777777777777,-0.10000000000000003,-0.15999999999999992,0.30000000000000004,-0.22999999999999998,6
0.303,0.25,0.5555555555555556,-0.10000000000000003,-0.31000000000000005,-0.5,-0.6799999999999999,7
0.303,0.33333333333333326,0.5,0.0,-0.48,-0.5,-0.89,7
